"word","meaning","phonetic","memoryTip","morphemes","goroText","bareLength"
"injection","注射","ɪnˈdʒekʃən","in(中へ)+ject(投げる)+ion(名詞化（〜すること）)で、注射、と覚える。","in:イン:中へ:ラテン語 in-:ɪn;ject:ジェクト:投げる:ラテン語 jacere:dʒɛkt;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","印(in)鑑ジェット(ject)柄、異(ion)例の注射器だ","15"
"projection","投影","prəˈdʒekʃən","pro(前へ・賛成して)+ject(投げる)+ion(名詞化（〜すること）)で、投影、と覚える。","pro:プロ:前へ・賛成して:ラテン語 pro-:proʊ;ject:ジェクト:投げる:ラテン語 jacere:dʒɛkt;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","プロ(pro)がジェット(ject)画を、異(ion)世界に投影する","18"
"objection","異議","əbˈdʒekʃən","ob(〜に向かって)+ject(投げる)+ion(名詞化（〜すること）)で、異議、と覚える。","ob:オブ:〜に向かって:ラテン語 ob-:əb;ject:ジェクト:投げる:ラテン語 jacere:dʒɛkt;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","オブ(ob)ジェット(ject)機に、異(ion)議あり","13"
"permit","許可する","pərˈmɪt","per(〜を通じて・徹底的に)+mit(送る)で、許可する、と覚える。","per:パー:〜を通じて・徹底的に:ラテン語 per-:pər;mit:ミット:送る:ラテン語 mittere:mɪt","パー(per)がミット(mit)持参なら許可する","14"
"submit","提出する","səbˈmɪt","sub(下に・副次的な)+mit(送る)で、提出する、と覚える。","sub:サブ:下に・副次的な:ラテン語 sub-:sʌb;mit:ミット:送る:ラテン語 mittere:mɪt","サブ(sub)グラウンドでミット(mit)を提出する","16"
"transmit","送信する","trænsˈmɪt","trans(越えて・移す)+mit(送る)で、送信する、と覚える。","trans:トランス:越えて・移す:ラテン語 trans-:trænz;mit:ミット:送る:ラテン語 mittere:mɪt","トランス(trans)状態でミット(mit)信号を送信する","17"
"commit","委ねる・約束する","kəˈmɪt","com(共に)+mit(送る)で、委ねる・約束する、と覚える。","com:コム:共に:ラテン語 com-:kəm;mit:ミット:送る:ラテン語 mittere:mɪt","紺(com)のミット(mit)を託し、約束を交わした","16"
"admit","認める","ədˈmɪt","ad(〜へ・向かって)+mit(送る)で、認める、と覚える。","ad:アド:〜へ・向かって:ラテン語 ad-:æd;mit:ミット:送る:ラテン語 mittere:mɪt","アド(ad)バイスのミット(mit)を、渋々認めた","16"
"permission","許可","pərˈmɪʃən","per(〜を通じて・徹底的に)+miss(送る)+ion(名詞化（〜すること）)で、許可、と覚える。","per:パー:〜を通じて・徹底的に:ラテン語 per-:pər;miss:ミス:送る:ラテン語 mittere（過去分詞形）:mɪs;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","パー(per)がミス(miss)覚悟で、異(ion)例の許可を得た","17"
"transmission","伝達","trænsˈmɪʃən","trans(越えて・移す)+miss(送る)+ion(名詞化（〜すること）)で、伝達、と覚える。","trans:トランス:越えて・移す:ラテン語 trans-:trænz;miss:ミス:送る:ラテン語 mittere（過去分詞形）:mɪs;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","トランス(trans)状態でミス(miss)覚悟の、異(ion)例な伝達","18"
"submission","提出・服従","səbˈmɪʃən","sub(下に・副次的な)+miss(送る)+ion(名詞化（〜すること）)で、提出・服従、と覚える。","sub:サブ:下に・副次的な:ラテン語 sub-:sʌb;miss:ミス:送る:ラテン語 mittere（過去分詞形）:mɪs;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","サブ(sub)戦士がミス(miss)を認め、異(ion)なく服従","16"
"commission","委員会・手数料","kəˈmɪʃən","com(共に)+miss(送る)+ion(名詞化（〜すること）)で、委員会・手数料、と覚える。","com:コム:共に:ラテン語 com-:kəm;miss:ミス:送る:ラテン語 mittere（過去分詞形）:mɪs;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","紺(com)服のミス(miss)代表、異(ion)例な手数料を得た","17"
"admission","入場・入学","ədˈmɪʃən","ad(〜へ・向かって)+miss(送る)+ion(名詞化（〜すること）)で、入場・入学、と覚える。","ad:アド:〜へ・向かって:ラテン語 ad-:æd;miss:ミス:送る:ラテン語 mittere（過去分詞形）:mɪs;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","アド(ad)バイス通りミス(miss)なく、異(ion)の入学","16"
"credible","信じられる","ˈkredəbl","cred(信じる)+ible(〜できる)で、信じられる、と覚える。","cred:クレド:信じる:ラテン語 credere:krɛd;ible:イブル:〜できる:ラテン語 -ibilis:ɪbl","クレ(cred)カでイブ(ible)ほど信じられる金額","15"
"incredible","信じられない","ɪnˈkredəbl","in(中へ)+cred(信じる)+ible(〜できる)で、信じられない、と覚える。","in:イン:中へ:ラテン語 in-:ɪn;cred:クレド:信じる:ラテン語 credere:krɛd;ible:イブル:〜できる:ラテン語 -ibilis:ɪbl","印(in)鑑がクレ(cred)化し、イブ(ible)ほど信じられない","18"
